,brand,product_count,href
229,Fioretti,11,https://wikiliq.org/wine-brand/fioretti/
230,Truck,11,https://wikiliq.org/wine-brand/truck/
231,Santa Carolina,11,https://wikiliq.org/wine-brand/santa-carolina/
232,William Fevre,11,https://wikiliq.org/wine-brand/william-fevre/
233,Viu Manent,11,https://wikiliq.org/wine-brand/viu-manent/
234,La Spinetta,11,https://wikiliq.org/wine-brand/la-spinetta/
235,Bouchard Aine & Fils,11,https://wikiliq.org/wine-brand/bouchard-aine-fils/
236,Joseph Mellot,11,https://wikiliq.org/wine-brand/joseph-mellot/
237,Palmer Vineyards,11,https://wikiliq.org/wine-brand/palmer-vineyards/
238,Bonny Doon,11,https://wikiliq.org/wine-brand/bonny-doon/
239,Opera Prima,11,https://wikiliq.org/wine-brand/opera-prima/
240,Zuccardi,11,https://wikiliq.org/wine-brand/zuccardi/
241,Esporao,11,https://wikiliq.org/wine-brand/esporao/
242,Gnarly Head,11,https://wikiliq.org/wine-brand/gnarly-head/
243,The Federalist,11,https://wikiliq.org/wine-brand/the-federalist/
244,Bonterra,11,https://wikiliq.org/wine-brand/bonterra/
245,Murphy-Goode,11,https://wikiliq.org/wine-brand/murphy-goode/
246,Tisdale Vineyards,11,https://wikiliq.org/wine-brand/tisdale-vineyards/
247,Midnight,11,https://wikiliq.org/wine-brand/midnight/
248,Buena Vista Winery,11,https://wikiliq.org/wine-brand/buena-vista-winery/
249,Parducci,11,https://wikiliq.org/wine-brand/parducci/
250,Cecchi,11,https://wikiliq.org/wine-brand/cecchi/
251,Terrazas de los Andes,11,https://wikiliq.org/wine-brand/terrazas-de-los-andes/
252,Zolo,11,https://wikiliq.org/wine-brand/zolo/
253,Gouguenheim,11,https://wikiliq.org/wine-brand/gouguenheim/
254,Pascual Toso,11,https://wikiliq.org/wine-brand/pascual-toso/
255,The Naked Grape,11,https://wikiliq.org/wine-brand/the-naked-grape/
256,Valentin Bianchi,11,https://wikiliq.org/wine-brand/valentin-bianchi/
257,Canoe Ridge,11,https://wikiliq.org/wine-brand/canoe-ridge/
258,Nicolas Wines,11,https://wikiliq.org/wine-brand/nicolas-wines/
