,brand,product_count,href
157,Crook & Marker,17,https://wikiliq.org/beer-brands/crook-marker/
158,Karl Strauss,16,https://wikiliq.org/beer-brands/karl-strauss/
159,River Horse Brewing Co.,16,https://wikiliq.org/beer-brands/river-horse-brewing-co/
160,Slumbrew,16,https://wikiliq.org/beer-brands/slumbrew/
161,Port City,16,https://wikiliq.org/beer-brands/port-city/
162,Ecliptic,16,https://wikiliq.org/beer-brands/ecliptic/
163,Narragansett,16,https://wikiliq.org/beer-brands/narragansett/
164,Stoneface,16,https://wikiliq.org/beer-brands/stoneface/
165,Against the Grain,16,https://wikiliq.org/beer-brands/against-the-grain/
166,Central State Brewery,16,https://wikiliq.org/beer-brands/central-state-brewery/
167,Exhibit A Brewing Company,16,https://wikiliq.org/beer-brands/exhibit-a-brewing-company/
168,Castle Island,16,https://wikiliq.org/beer-brands/castle-island/
169,Bare Hands Brewery,16,https://wikiliq.org/beer-brands/bare-hands-brewery/
170,Saranac,16,https://wikiliq.org/beer-brands/saranac/
171,Burlington Beer Co.,16,https://wikiliq.org/beer-brands/burlington-beer-co/
172,Peak Organic Brewing Company,16,https://wikiliq.org/beer-brands/peak-organic-brewing-company/
173,Lone Pine,16,https://wikiliq.org/beer-brands/lone-pine/
174,Monument City Brewing Company,16,https://wikiliq.org/beer-brands/monument-city-brewing-company/
175,Mast Landing Brewing,16,https://wikiliq.org/beer-brands/mast-landing-brewing/
176,Paradox Brewing,16,https://wikiliq.org/beer-brands/paradox-brewing/
177,Foreign Objects,16,https://wikiliq.org/beer-brands/foreign-objects/
178,Michelob,15,https://wikiliq.org/beer-brands/michelob/
179,Fort Point Beer Co,15,https://wikiliq.org/beer-brands/fort-point-beer-co/
180,Ska Brewing,15,https://wikiliq.org/beer-brands/ska-brewing/
181,Diebolt Brewing,15,https://wikiliq.org/beer-brands/diebolt-brewing/
182,Woods Boss Brewing,15,https://wikiliq.org/beer-brands/woods-boss-brewing/
183,Otter Creek,15,https://wikiliq.org/beer-brands/otter-creek/
184,Fulton,15,https://wikiliq.org/beer-brands/fulton/
185,Deep Ellum Brewing Co.,15,https://wikiliq.org/beer-brands/deep-ellum-brewing-co/
186,Pike Brewing Company,15,https://wikiliq.org/beer-brands/pike-brewing-company/
187,Melvin,15,https://wikiliq.org/beer-brands/melvin/
188,Fort George,15,https://wikiliq.org/beer-brands/fort-george/
189,Unibroue,15,https://wikiliq.org/beer-brands/unibroue/
190,Samuel Smith,15,https://wikiliq.org/beer-brands/samuel-smith/
191,Parallel 49,15,https://wikiliq.org/beer-brands/parallel-49/
192,Tallgrass Brewing,15,https://wikiliq.org/beer-brands/tallgrass-brewing/
193,3 Stars Brewing Company,15,https://wikiliq.org/beer-brands/3-stars-brewing-company/
194,Barrier Brewing Company,15,https://wikiliq.org/beer-brands/barrier-brewing-company/
195,Heavy Seas,15,https://wikiliq.org/beer-brands/heavy-seas/
196,Urban Village Brewing Company,15,https://wikiliq.org/beer-brands/urban-village-brewing-company/
197,Weihenstephaner,15,https://wikiliq.org/beer-brands/weihenstephaner/
198,Zero Gravity,15,https://wikiliq.org/beer-brands/zero-gravity/
199,Bronx Brewery,15,https://wikiliq.org/beer-brands/bronx-brewery/
200,Finkel & Garf,14,https://wikiliq.org/beer-brands/finkel-garf/
